1 6 11 
1 13 16 
1 25 18 
2 1 6 
2 3 14 
2 8 20 
2 12 8 
2 17 6 
2 18 20 
2 19 12 
2 22 8 
3 7 9 
3 9 24 
3 11 11 
3 13 5 
3 17 22 
3 20 15 
3 21 19 
4 10 5 
4 12 21 
5 1 18 
5 7 17 
5 10 12 
5 12 16 
5 13 24 
5 14 12 
5 16 20 
5 17 11 
5 18 14 
5 24 8 
6 3 4 
6 16 20 
7 8 24 
7 14 4 
7 15 19 
8 3 11 
8 16 6 
8 17 3 
9 5 3 
9 7 8 
9 13 5 
9 14 17 
9 15 25 
9 18 9 
9 19 19 
10 6 3 
10 9 12 
10 12 16 
11 3 5 
11 4 20 
11 6 25 
11 10 7 
11 12 21 
11 24 24 
12 19 24 
13 8 8 
13 15 3 
13 24 16 
14 23 5 
14 24 15 
15 19 7 
15 20 10 
16 7 25 
16 9 9 
16 24 22 
17 21 19 
18 2 18 
18 6 16 
18 9 17 
18 21 20 
19 6 7 
19 9 11 
19 15 14 
20 12 25 
20 16 24 
20 17 10 
20 24 17 
21 3 19 
21 9 17 
21 12 7 
21 15 5 
21 17 20 
21 22 15 
22 2 14 
22 3 23 
22 5 21 
22 14 20 
22 20 10 
23 6 17 
23 8 5 
23 9 4 
23 14 24 
23 18 12 
23 21 19 
23 24 7 
24 2 11 
24 9 15 
24 14 5 
24 16 13 
24 17 6 
24 23 7 
24 25 5 
25 3 10 
25 11 4 
25 14 17 
25 15 25 
25 21 18 
