Graph does not contain edges with negative weight.
Shortest paths lengths:
2 - 1: 5
3 - 1: 27
4 - 1: 13
5 - 1: 23
6 - 1: 19
7 - 1: 24
8 - 1: 12
1 - 2: 23
3 - 2: 22
4 - 2: 8
5 - 2: 18
6 - 2: 42
7 - 2: 47
8 - 2: 24
1 - 3: 40
2 - 3: 17
4 - 3: 25
5 - 3: 35
6 - 3: 59
7 - 3: 64
8 - 3: 41
1 - 4: 54
2 - 4: 31
3 - 4: 14
5 - 4: 49
6 - 4: 73
7 - 4: 78
8 - 4: 16
1 - 6: 11
2 - 6: 16
3 - 6: 38
4 - 6: 24
5 - 6: 34
7 - 6: 5
8 - 6: 13
1 - 7: 6
2 - 7: 11
3 - 7: 33
4 - 7: 19
5 - 7: 29
6 - 7: 25
8 - 7: 8
1 - 9: 19
2 - 9: 24
3 - 9: 46
4 - 9: 32
5 - 9: 8
6 - 9: 38
7 - 9: 13
8 - 9: 17
1 - 10: 14
2 - 10: 19
3 - 10: 28
4 - 10: 27
5 - 10: 23
6 - 10: 33
7 - 10: 8
8 - 10: 16
9 - 10: 15
