Graph contains edges with negative weight.
Shortest paths lengths:
1 - 2: 24
1 - 3: 26
1 - 4: 10
1 - 5: 21
1 - 6: 16
1 - 7: 8
1 - 8: 18
1 - 9: 11
1 - 10: 8
1 - 11: 22
1 - 12: 25
1 - 13: 12
1 - 14: 13
1 - 15: 21
1 - 16: 12
1 - 17: 10
1 - 18: 15
1 - 19: 2
1 - 20: 29
1 - 21: 16
1 - 22: 20
1 - 23: 14
1 - 24: 17
1 - 25: 10
2 - 1: 1
2 - 3: 14
2 - 4: -2
2 - 5: 18
2 - 6: 4
2 - 7: 0
2 - 8: 10
2 - 9: -8
2 - 10: -6
2 - 11: 3
2 - 12: 11
2 - 13: 10
2 - 14: 6
2 - 15: 7
2 - 16: 3
2 - 17: -4
2 - 18: 8
2 - 19: 2
2 - 20: 10
2 - 21: 4
2 - 22: 8
2 - 23: 2
2 - 24: 3
2 - 25: -4
3 - 1: 25
3 - 2: 36
3 - 4: 22
3 - 5: 40
3 - 6: 26
3 - 7: 24
3 - 8: 34
3 - 9: 19
3 - 10: 18
3 - 11: 30
3 - 12: 33
3 - 13: 34
3 - 14: 30
3 - 15: 14
3 - 16: 27
3 - 17: 20
3 - 18: 32
3 - 19: 18
3 - 20: 37
3 - 21: 28
3 - 22: 25
3 - 23: 26
3 - 24: 25
3 - 25: 20
4 - 1: 13
4 - 2: 14
4 - 3: 16
4 - 5: 21
4 - 6: 6
4 - 7: 10
4 - 8: 20
4 - 9: 4
4 - 10: 6
4 - 11: 15
4 - 12: 23
4 - 13: 12
4 - 14: 18
4 - 15: 19
4 - 16: 5
4 - 17: 8
4 - 18: 20
4 - 19: 4
4 - 20: 22
4 - 21: 6
4 - 22: 10
4 - 23: 4
4 - 24: 15
4 - 25: 8
5 - 1: 12
5 - 2: 23
5 - 3: 5
5 - 4: 9
5 - 6: 14
5 - 7: 8
5 - 8: 12
5 - 9: 3
5 - 10: 5
5 - 11: 14
5 - 12: 22
5 - 13: 21
5 - 14: 17
5 - 15: 18
5 - 16: 12
5 - 17: 7
5 - 18: 6
5 - 19: 2
5 - 20: 21
5 - 21: 13
5 - 22: 18
5 - 23: 13
5 - 24: 14
5 - 25: 7
6 - 1: 7
6 - 2: 18
6 - 3: 10
6 - 4: 4
6 - 5: 24
6 - 7: 6
6 - 8: 16
6 - 9: -2
6 - 10: 0
6 - 11: 9
6 - 12: 17
6 - 13: 16
6 - 14: 12
6 - 15: 13
6 - 16: 2
6 - 17: 2
6 - 18: 14
6 - 19: 8
6 - 20: 16
6 - 21: 6
6 - 22: 4
6 - 23: 8
6 - 24: 9
6 - 25: 2
7 - 1: 17
7 - 2: 28
7 - 3: 26
7 - 4: 14
7 - 5: 34
7 - 6: 16
7 - 8: 10
7 - 9: 8
7 - 10: 10
7 - 11: 19
7 - 12: 27
7 - 13: 26
7 - 14: 22
7 - 15: 23
7 - 16: 18
7 - 17: 12
7 - 18: 24
7 - 19: 18
7 - 20: 26
7 - 21: 20
7 - 22: 14
