1 3 5
1 4 12
1 22 15
1 31 9
2 3 12
2 26 5
2 31 15
2 37 9
2 45 2
2 48 -3
2 49 10
3 7 9
3 12 5
3 19 9
3 21 5
3 35 8
3 36 11
4 33 14
5 6 9
5 9 7
5 16 14
5 23 11
5 41 13
5 49 11
5 50 3
6 7 8
6 11 8
6 16 14
6 17 15
6 28 9
6 30 13
6 32 11
6 38 8
6 46 6
7 10 8
7 22 7
7 25 13
7 32 -9
7 50 11
8 32 6
8 33 9
9 30 14
9 35 13
9 39 10
9 50 14
10 42 6
10 45 5
10 46 5
11 17 7
11 20 6
11 24 10
12 3 12
12 10 3
12 39 7
13 3 13
13 5 2
13 15 9
13 16 14
13 31 5
13 39 5
13 49 6
14 2 13
14 20 10
14 22 13
14 29 7
14 43 10
15 22 7
15 27 10
15 32 5
15 43 15
16 2 8
16 8 4
16 26 9
16 32 10
16 36 15
16 50 8
17 7 6
17 19 9
17 25 13
17 33 8
17 41 6
18 9 10
18 21 9
18 23 4
19 1 7
19 2 8
19 5 14
19 6 3
19 17 4
19 27 2
19 42 5
20 34 2
20 41 8
21 2 7
21 17 4
21 25 10
21 29 14
21 36 10
21 45 7
21 47 3
22 2 6
22 11 15
22 27 13
23 5 11
23 20 15
23 34 2
23 46 6
24 4 13
24 5 14
24 16 2
24 17 6
24 20 4
24 31 4
24 37 13
25 2 10
25 3 6
25 10 3
25 14 13
25 15 6
25 20 7
25 36 9
26 3 12
26 4 14
26 8 10
26 11 6
26 15 8
26 30 9
26 33 12
26 45 15
27 4 3
27 5 8
27 35 12
27 46 13
27 48 6
28 5 6
28 29 6
28 50 5
29 13 7
29 15 11
29 20 13
29 25 14
29 34 3
29 41 2
29 47 14
29 49 9
30 20 6
31 3 8
31 15 12
31 23 15
31 24 7
31 25 3
31 28 14
31 29 14
31 30 -11
31 48 2
32 10 5
32 18 3
32 22 4
32 34 5
32 36 2
32 42 4
33 31 11
33 37 10
34 3 4
34 4 15
34 8 15
34 9 9
34 24 2
34 26 3
34 38 5
35 17 5
35 37 2
36 21 3
36 22 2
36 28 9
36 30 11
36 44 10
37 7 15
37 14 14
37 25 4
37 27 8
37 28 12
37 40 3
37 41 15
37 42 11
37 44 11
38 24 14
38 31 7
38 48 10
39 31 14
39 42 10
40 15 3
40 25 8
40 30 3
40 38 3
40 39 13
40 42 7
40 44 8
40 50 13
41 14 15
41 23 15
41 38 5
41 39 10
41 42 3
41 49 10
42 3 3
42 11 7
42 26 10
42 50 4
43 15 5
43 29 12
43 42 11
43 44 4
43 46 14
44 2 13
44 9 14
44 13 8
44 19 13
44 23 8
44 49 12
45 31 8
45 40 7
46 2 7
46 6 4
46 26 12
46 36 10
46 47 8
47 1 15
47 15 6
47 29 9
47 46 12
48 6 9
48 11 9
48 16 14
48 28 9
48 30 12
48 34 11
48 40 13
49 21 8
49 25 13
49 29 2
49 34 7
49 39 10
49 40 9
49 43 2
49 44 4
50 10 5
50 17 11
50 31 11
50 48 2
